spec_id,title,framework_id,status,version,plane_id,created_at
SPEC-CORE-001,Core Infrastructure,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-INT-001,Integrity & Merkle,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-LEDGER-001,Ledger System,FMWK-002,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-PKG-001,Package Management,FMWK-007,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-REG-001,Registry Management,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-GATE-001,Gate Operations,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-SEC-001,Security & Auth,FMWK-001,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-PLANE-001,Multi-Plane,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-VER-001,Version Control,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-POLICY-001,Policy Management,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
SPEC-GENESIS-001,Bootstrap,FMWK-000,active,1.0.0,ho3,2026-02-01T00:00:00Z
